url,mod_name,running_environment,version
https://www.mcmod.cn/class/8616.html,是，史蒂夫模型,"运行环境: 客户端可选, 服务端需装",1.19.2
https://www.mcmod.cn/class/5510.html,Forge Config API Port,"运行环境: 客户端需装, 服务端需装",1.19.2
https://www.mcmod.cn/class/609.html,创世神,"运行环境: 客户端需装, 服务端需装",1.19.2
